ID,Título,Severidad,CVSS,CVSS_Score,CWE,MASVS,MASTG,Estado,Confianza,Descripción,Evidencia,Riesgo,Escenario_de_explotación,Impacto,Recomendación,Notas
F-001,Debug Mode Enabled in Production,Critical,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/C:C/I:C/A:C,9.8,CWE-489,MASVS-STORAGE-3,MASTG-TEST-0001,Confirmed,High,La aplicación tiene android:debuggable="true" en el AndroidManifest.xml. Esto permite depuración remota del proceso de la aplicación y exposición de datos sensibles a atacantes.,AndroidManifest.xml: <application android:debuggable="true" ...>,Un atacante puede usar ADB para inyectar código, inspeccionar la memoria, leer datos sensibles, interceptar llamadas a métodos y manipular el comportamiento de la aplicación en tiempo real.,1. Conectar dispositivo con ADB\n2. Usar `adb shell` para acceder al shell\n3. Usar herramientas como frida-server o r2frida para inyectar scripts\n4. Extraer datos de memoria: `debuggerd -b /data/local/tmp/heapdump`\n5. Inspeccionar WebView: `chromium-trace`,"Exposición completa de datos sensibles (tokens, contraseñas, datos personales), manipulación de lógica de negocio, robo de sesiones, bypass de autenticación.",Establecer android:debuggable="false" en el AndroidManifest.xml. Verificar que el build release no tenga debug habilitado. Usar `BuildConfig.DEBUG` para condicionar code de debug.,Este es un riesgo grave especialmente en apps distribuidas fuera del Google Play Store.
F-002,ClearText Traffic Allowed (HTTP),High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,6.5,CWE-319,MASVS-NETWORK-3,MASTG-TEST-0002,Confirmed,High,La aplicación tiene android:usesCleartextTraffic="true" en el AndroidManifest.xml. Esto permite tráfico HTTP no cifrado.,AndroidManifest.xml: <application ... android:usesCleartextTraffic="true">,"Ataques MITM (Man-in-the-Middle): atacantes pueden interceptar, modificar, robar datos transmitidos por HTTP. Tokens de autenticación y datos personales pueden ser comprometidos.","1. Conectar a red WiFi maliciosa controlada por atacante\n2. Usar ettercap o mitmproxy para interceptar tráfico\n3. Modificar respuestas del servidor para inyectar malware\n4. Robar cookies y tokens de sesión","Robo de credenciales, sesiones, datos personales. Manipulación de respuestas del servidor.",Establecer android:usesCleartextTraffic="false". Configurar Network Security Config para permitir solo HTTPS. Redirigir todas las peticiones a HTTPS.,Firebase Realtime Database usada: amani-160bf-default-rtdb.europe-west1.firebasedatabase.app
F-003,Backup Enabled (Data Exposure),High,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/C:H/I:N/A:N,7.8,CWE-538,MASVS-STORAGE-1,MASTG-TEST-0003,Confirmed,High,La aplicación tiene android:allowBackup="true". Los datos de la aplicación pueden ser respaldados y extraídos mediante ADB.,AndroidManifest.xml: <application ... android:allowBackup="true">,"Atacante con acceso físico o ADB puede ejecutar `adb backup` y extraer datos sensibles ( SharedPreferences, bases de datos, archivos) sin necesidad de root.","1. Ejecutar `adb backup -f backup.ab -noapk org.ies.tierno.applicationamani`\n2. Descompilar backup.ab con Android Backup Extractor\n3. Extraer datos de SharedPreferences, databases, files","Exposición de datos personales, tokens, credenciales almacenadas localmente.",Establecer android:allowBackup="false". Si se requiere backup, implementar custom encryption con MasterKey antes de almacenar datos sensibles.,Firebase App Check usado - verificar si se almacenan tokens de manera segura.
F-004,API Key Hardcoded in APK (Google API Key),Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/C:H/I:H/A:H,9.0,CWE-798,MASVS-CODE-5,MASTG-TEST-0004,Confirmed,High,Google API Key hardcodeada encontrada en el APK: AIzaSyBogTVMHBidx5UQmbyFgti_pTlKkPmmz_s,Strings extraction: 'AIzaSyBogTVMHBidx5UQmbyFgti_pTlKkPmmz_s',"La API Key puede ser extraída fácilmente de cualquier APK. Atacantes pueden:\n1. Usar la key para acceder APIs de Google ( Maps, Places, etc.)\n2. Exceder cuotas de uso del desarrollador original\n3. Realizar ataques si la key permite acceso a datos sensibles\n4. Gasts en servicios de Google Cloud","1. Extraer APK con apktool\n2. Buscar en strings o smali\n3. Usar la key en peticiones HTTP directas","Costos no autorizados, exposición de datos, abuso de APIs, limitación de cuotas para desarrollador legítimo.",Usar Firebase App Check o Play Integrity para proteger APIs. Mover claves a backend server. No incluir API keys en el cliente. Usar ProGuard/R8 para ofuscar referencias a claves.,La key parece ser para Google Maps o Places API. Verificar límites de uso en Google Cloud Console.
F-005,Firebase Database URL Exposed,Medium,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,5.6,CWE-200,MASVS-STORAGE-3,MASTG-TEST-0005,Confirmed,High,Firebase Realtime Database URL expuesta: amani-160bf-default-rtdb.europe-west1.firebasedatabase.app,Strings extraction: 'https://amani-160bf-default-rtdb.europe-west1.firebasedatabase.app',"La URL de la base de datos puede ser usada por atacantes para intentar acceso no autorizado. Si las reglas de Firestore no están bien configuradas, puede exposición de datos.","1. Acceder a la URL directamente en navegador\n2. Intentar leer datos sin autenticación\n3. Verificar reglas de seguridad de Firebase","Exposición de datos si las reglas de seguridad permiten lectura pública o anónima.","Revisar y restringir reglas de seguridad de Firebase Realtime Database. Usar autenticación Firebase Auth. Implementar reglas de seguridad estrictas: `allow read, write: if request.auth != null`.","Firebase App Check debería usarse para proteger endpoints."
F-006,Exported Components Without Protection,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:L,7.1,CWE-927,MASVS-CODE-6,MASTG-TEST-0006,Confirmed,High,Varios componentes (Activity, Service, Receiver) tienen android:exported="true" sin permisos adecuados.,AndroidManifest.xml:\n- androidx.compose.ui.tooling.PreviewActivity (exported=true)\n- androidx.activity.ComponentActivity (exported=true)\n- androidx.work.impl.diagnostics.DiagnosticsReceiver (exported=true)\n- SystemJobService (exported=true),"Componentes exportados pueden ser invocados por otras aplicaciones maliciosas, causando:\n1. Fugas de información\n2. Ejecución de código no autorizado\n3. Negación de servicio\n4. Bypass de controles de acceso","1. Usar `adb shell am start` para invocar Activities\n2. Usar `adb shell am broadcast` para enviar broadcasts\n3. Usar Intents para invocar Services directamente","Acceso no autorizado a funcionalidades, manipulación de datos, explotación de vulnerabilidades en componentes expuestos.",Establecer android:exported="false" para componentes que no necesitan ser accedidos externamente. Para componentes que deben ser exportados, requerir permisos personalizados con android:permission.,La Activity MainActivity es exportada y es el punto de entrada principal - esto es normal pero debe validarse.
F-007,SharedPreferences Usage Without Encryption,Medium,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/C:H/I:N/A:N,7.8,CWE-312,MASVS-STORAGE-1,MASTG-TEST-0007,Probable,Medium,La aplicación usa SharedPreferences sin indicar uso de EncryptedSharedPreferences. Datos almacenados en SharedPreferences son plaintext por defecto.","Sources:\n- com.google.firebase.appcheck.internal.StorageHelper.java: getSharedPreferences(prefsName, 0)\n- androidx.work.impl.utils.IdGeneratorKt: getSharedPreferences(PREFERENCE_FILE_KEY, 0)\n- com.google.android.gms.auth.api.signin.internal.Storage: getSharedPreferences","Si los datos sensibles (tokens, credenciales) se almacenan en SharedPreferences sin cifrado, pueden ser extraídos por:\n1. Acceso root al dispositivo\n2. Backup con ADB\n3. Vulnerabilidades en other apps con permisos inapropiados","1. `adb shell run-as org.ies.tierno.applicationamani cat /data/data/org.ies.tierno.applicationamani/shared_prefs/*.xml`\n2. Analizar con herramientas como adb backup","Exposición de tokens de autenticación, credenciales, configuración sensibles.","Usar EncryptedSharedPreferences de AndroidX Security o implementar cifrado con MasterKey para datos sensibles. Evitar almacenar tokens de acceso directos.","Firebase DataStore también puede usar SharedPreferences internamente."
F-008,No Network Security Config,Medium,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,6.5,CWE-757,MASVS-NETWORK-3,MASTG-TEST-0008,Confirmed,High,No se encontró archivo network_security_config.xml. La aplicación depende del comportamiento por defecto del sistema.,No network_security_config.xml found in res/xml/,"Sin configuración explícita, la aplicación hereda comportamiento por defecto que puede ser menos seguro. En Android 9+ cleartext traffic está bloqueado por defecto, pero la aplicación explicitamente lo permite con android:usesCleartextTraffic="true".","1. Capturar tráfico con tcpdump o Wireshark\n2. Interceptación MITM en redes WiFi inseguras","Exposición de datos en tráfico no cifrado si se usa HTTP.","Crear archivo res/xml/network_security_config.xml para definir reglas explícitas de seguridad de red. Bloquear cleartext HTTP, forzar TLS 1.2+, configurar Certificate Pinning para APIs críticas.","Combinado con F-002 (ClearTextTraffic), esto es especialmente preocupante."
F-009,Native Library Stripped - Reverse Engineering Still Possible,Low,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L,5.3,CWE-284,MASVS-CODE-2,MASTG-TEST-0009,Confirmed,High,Las librerías nativas (.so) no están fully stripped, lo que facilita el reverse engineering.,Native libs: libandroidx.graphics.path.so, libdatastore_shared_counter.so - not stripped (nm shows symbols),"Nombres de funciones y símbolos revelan lógica interna que puede ser usada para entender la aplicación y encontrar vulnerabilidades.","1. Analizar con radare2, Ghidra, IDA Pro\n2. Usar símbolos para entender flujo de ejecución\n3. Identificar funciones críticas de seguridad","Facilita análisis avanzado de la aplicación, potencial exposición de algoritmos de seguridad.","Strip symbols de librerías nativas en release builds con `strip` command. Usar R8 para ofuscar código Java/Kotlin.","Menor prioridad si otras protecciones (obfuscation, anti-debug) están en place."
F-010,Firebase API Endpoints Hardcoded,Low,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,4.3,CWE-200,MASVS-NETWORK-5,MASTG-TEST-0010,Confirmed,High,Endpoints de Firebase App Check hardcodeados en el código.,sources/com/google/firebase/appcheck/internal/NetworkClient.java:\n- exchangeDebugToken: https://firebaseappcheck.googleapis.com/v1/projects/%s/apps/%s:exchangeDebugToken?key=%s\n- generatePlayIntegrityChallenge: https://firebaseappcheck.googleapis.com/v1/projects/%s/apps/%s:generatePlayIntegrityChallenge?key=%s,"Endpoints expuestos pueden ser usados para intentar bypass de Firebase App Check si se puede encontrar vulnerabilidad en la implementación del protocolo.","1. Analizar NetworkClient.java para entender protocolo\n2. Intentar replay attacks o tampering\n3. Analizar clave de API usada","Potencial bypass de seguridad si se descubre vulnerabilidad en la implementación.","No hay acción específica - los endpoints de Firebase son públicos. Asegurar que las claves API estén protegidas y Firebase App Check esté correctamente configurado.","Esta es una característica de diseño de Firebase - los endpoints son públicos pero requieren autenticación válida."
